"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","Cuba Memorial Hospital Inc","37","5","Infectious Complications","175.43859649122805","120.12089002350217","Similar"
"2023","40.0","Cuba Memorial Hospital Inc","37","6","Malfunctions, Reactions, etc.","169.4915254237288","300.99774996459917","Above"
"2023","40.0","Cuba Memorial Hospital Inc","37","8","Other Medical and Surgical Complications","169.4915254237288","251.0130842202898","Similar"
"2023","40.0","Delaware Valley Hospital Inc","174","1","Extreme Complications","0","0","Below"
"2023","40.0","Delaware Valley Hospital Inc","174","2","Cardiovascular-Respiratory Complications","441.1764705882353","867.1734779103322","Above"
"2023","40.0","Delaware Valley Hospital Inc","174","3","Gastrointestinal Complications","212.7659574468085","335.8565088137141","Above"
"2023","40.0","Delaware Valley Hospital Inc","174","4","Perioperative Complications","0","0","Below"
"2023","40.0","Delaware Valley Hospital Inc","174","5","Infectious Complications","551.1811023622047","618.0287819154586","Above"
"2023","40.0","Delaware Valley Hospital Inc","174","6","Malfunctions, Reactions, etc.","68.02721088435374","84.94902567884841","Similar"
"2023","40.0","Delaware Valley Hospital Inc","174","8","Other Medical and Surgical Complications","476.19047619047615","594.828921907693","Above"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","1","Extreme Complications","66.66666666666667","132.723359691951","Similar"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","2","Cardiovascular-Respiratory Complications","198.67549668874173","329.20393947059813","Similar"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","3","Gastrointestinal Complications","58.47953216374269","92.19934179004744","Similar"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","4","Perioperative Complications","0","0","Below"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","5","Infectious Complications","121.95121951219512","168.0577460283608","Similar"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","6","Malfunctions, Reactions, etc.","0","0","Below"
"2023","40.0","Eastern Niagara Hospital - Lockport Division","565","8","Other Medical and Surgical Complications","175.43859649122805","250.11541225864073","Similar"
"2023","40.0","Ellis Hospital","829","1","Extreme Complications","95.81881533101044","55.32009345757877","Below"
"2023","40.0","Ellis Hospital","829","2","Cardiovascular-Respiratory Complications","197.04433497536945","138.99911008295473","Similar"
"2023","40.0","Ellis Hospital","829","3","Gastrointestinal Complications","55.46311702717693","35.025275776426845","Similar"
"2023","40.0","Ellis Hospital","829","4","Perioperative Complications","31.620553359683793","26.482145758934365","Below"
"2023","40.0","Ellis Hospital","829","5","Infectious Complications","80.0552104899931","61.624203813697775","Below"
"2023","40.0","Ellis Hospital","829","6","Malfunctions, Reactions, etc.","56.67911889733351","39.11487759338177","Similar"
"2023","40.0","Ellis Hospital","829","8","Other Medical and Surgical Complications","183.56984767608384","138.4498647703496","Below"
"2023","40.0","Elmhurst Hospital Center","1626","1","Extreme Complications","46.671042076861376","92.69704189295409","Similar"
"2023","40.0","Elmhurst Hospital Center","1626","2","Cardiovascular-Respiratory Complications","57.47126436781609","97.53861034888237","Below"
"2023","40.0","Elmhurst Hospital Center","1626","3","Gastrointestinal Complications","8.583690987124463","14.068423022494732","Below"
