report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
2648035-2020-00397,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,UNKNOWN,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high,0,0
1314492-2020-01393,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2182207-2008-00773,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2182207-2008-00773,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
1314492-2020-01393,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
9612164-2020-01701,,Injury,MEDTRONIC IRELAND,,,DQY,RELIANT BALLOON,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
3012307300-2020-03402,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03402,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03401,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03401,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1640201-2008-00005,,Malfunction,INTERVASCULAR,,,DSY,INTERGARD SILVER VASCULAR GRAFT,C1880,Vena cava filter,ivc_filter,high,0,0
3012307300-2020-03432,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03430,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1640201-2008-00005,,Malfunction,INTERVASCULAR,,,DSY,INTERGARD SILVER VASCULAR GRAFT,C1768,"Graft, vascular",,low,0,0
3012307300-2020-03404,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03404,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2648035-2020-00395,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,TECNIS 1-PIECE,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high,0,0
2648035-2020-00395,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,TECNIS 1-PIECE,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high,0,0
3012307300-2020-03430,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03429,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03429,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03467,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01421,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01416,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2648035-2020-00394,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,TECNIS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high,0,0
3012307300-2020-03426,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03426,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2648035-2020-00394,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,TECNIS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high,0,0
1314492-2020-01416,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03405,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2017865-2020-05111,,Injury,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",,,NVY,RIATA ST ACTIVE FIXATION,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high,0,0
3012307300-2020-03428,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03405,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2016493-2020-00574,,Malfunction,CAREFUSION,,,FRN,ALARIS® PUMP MODULE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03428,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2183870-2020-00133,,Malfunction,COVIDIEN,,,DQY,TRAILBLAZER SUPPORT CATHETER,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
2183870-2020-00132,,Malfunction,COVIDIEN,,,DQY,TRAILBLAZER SUPPORT CATHETER,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
2182207-2008-00772,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
2182207-2008-00772,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2182207-2008-00769,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
3012307300-2020-03415,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03415,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2016493-2020-00563,,Malfunction,CAREFUSION,,,FRN,ALARIS®  PUMP MODULE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
